LSOA code,LSOA name,IMD,IMD_R,Income,Income_R,Employment,Employment_R,Education,Education_R,Health,Health_R,Crime,Crime_R,Housing,Housing_R,Living,Living_R
E01002860,Kensington and Chelsea 012D,11.4160 ,7,0.0130 ,10,0.0070 ,10,0.1080 ,10,-3.1880 ,10,0.1020 ,5,28.8180 ,3,56.8160 ,1
E01002861,Kensington and Chelsea 014D,15.0410 ,6,0.0680 ,7,0.0430 ,9,6.7100 ,8,-1.0800 ,9,0.3770 ,4,31.7250 ,2,45.1300 ,1
E01002862,Kensington and Chelsea 014E,26.0440 ,4,0.1590 ,3,0.1030 ,4,7.8310 ,8,-0.3460 ,7,-0.1460 ,6,44.5330 ,1,44.6170 ,1
E01002863,Kensington and Chelsea 012E,9.9330 ,8,0.0120 ,10,0.0100 ,10,2.5330 ,10,-3.1340 ,10,0.0820 ,5,34.5930 ,2,37.9580 ,2
E01002864,Kensington and Chelsea 009A,9.5060 ,8,0.0340 ,10,0.0130 ,10,0.5820 ,10,-2.7890 ,10,0.6070 ,3,27.5670 ,3,33.3830 ,3
E01002865,Kensington and Chelsea 011E,7.2600 ,9,0.0210 ,10,0.0050 ,10,0.2150 ,10,-2.7290 ,10,-0.0120 ,6,24.3500 ,4,36.0400 ,2
E01002866,Kensington and Chelsea 009B,20.6840 ,5,0.1070 ,5,0.0850 ,5,2.5340 ,10,-0.5730 ,8,0.3900 ,4,43.2670 ,1,32.9190 ,3
E01002867,Kensington and Chelsea 009C,22.3280 ,4,0.1420 ,4,0.1030 ,4,4.6490 ,9,-1.0340 ,9,0.0080 ,6,41.6450 ,1,36.5300 ,2
E01002868,Kensington and Chelsea 009D,9.2600 ,8,0.0120 ,10,0.0090 ,10,0.7340 ,10,-2.8400 ,10,0.1140 ,5,35.0560 ,2,33.6420 ,3
E01002869,Kensington and Chelsea 009E,19.6750 ,5,0.1140 ,5,0.0760 ,6,3.5010 ,9,-1.0560 ,9,0.2400 ,4,41.7140 ,1,37.0650 ,2
